Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Georgia,2019,59.523811340332,4741.2832715876,27.3584899902344,3720161.0,1355.0,11.565
Georgia,2020,58.5714302062988,4300.85701291207,32.5471687316895,3722716.0,1780.0,11.734
Georgia,2021,55.7142868041992,5083.60695484577,30.1886787414551,3708610.0,1818.0,
Georgia,2022,56.6037750244141,6729.84659930283,30.1886787414551,3712502.0,27839.0,
Germany,2010,92.890998840332,41572.4559481507,73.459716796875,81776930.0,594250.0,7.043
Germany,2011,92.0187759399414,46705.8957963353,71.5639801025391,80274983.0,571672.0,5.967
Germany,2012,92.0187759399414,43855.8544658618,71.0900497436523,80425823.0,589735.0,5.372
Germany,2013,92.0187759399414,46298.9229177341,76.3033142089844,80645605.0,187545.0,5.316
Germany,2014,93.75,48023.8699845462,78.0952377319336,80982500.0,216956.0,4.98
Germany,2015,93.3333358764648,41103.2564363768,68.0952377319336,81686611.0,316098.0,4.612
Germany,2016,91.9047622680664,42136.1207907991,68.5714263916016,82348669.0,669468.0,4.104
Germany,2017,91.4285736083984,44652.5891722719,65.2380981445312,82657002.0,970357.0,3.781
Germany,2018,91.4285736083984,47939.2782884504,64.6226425170898,82905782.0,1063835.0,3.384
Germany,2019,92.3809509277344,46805.1384334439,65.0943374633789,83092962.0,1146682.0,3.163
Germany,2020,90.9523773193359,46749.4762280016,67.9245300292969,83160871.0,1210596.0,3.881
Germany,2021,91.4285736083984,51426.7503654421,69.8113174438477,83196078.0,1255694.0,3.594
Germany,2022,91.9811325073242,48717.9911402128,66.9811325073242,83797985.0,2075445.0,3.12
Greece,2010,66.8246459960938,26716.6488260274,40.7582931518555,11121341.0,1443.0,12.719
Greece,2011,65.7276992797852,25483.8825644931,41.7061614990234,11104899.0,1566.0,17.973
Greece,2012,63.8497657775879,21912.9982879517,39.3364944458008,11045011.0,2090.0,24.731
Greece,2013,64.7887344360352,21787.7877636035,40.2843589782715,10965211.0,3468.0,27.686
Greece,2014,66.3461532592773,21616.7100094908,40.476188659668,10892413.0,10292.0,26.708
Greece,2015,62.8571434020996,18083.8779056547,38.0952377319336,10820883.0,24831.0,24.981
Greece,2016,57.6190490722656,17923.9668134716,41.4285697937012,10775971.0,46411.0,23.514
Greece,2017,55.7142868041992,18582.0893411631,41.4285697937012,10754679.0,38988.0,21.414
Greece,2018,57.1428565979004,19756.990456255,53.301887512207,10732882.0,61446.0,19.179
Greece,2019,57.6190490722656,19143.8876174584,54.2452812194824,10721582.0,80454.0,17.045
Greece,2020,60.0,17617.2915057014,51.4150924682617,10698599.0,103101.0,15.899
Greece,2021,60.476188659668,20310.6824798873,50.9433975219727,10569207.0,119650.0,14.657
Greece,2022,59.4339637756348,20867.2690861087,50.0,10426919.0,160761.0,12.426
Hungary,2010,72.0379180908203,13217.5045951108,69.1943130493164,10000023.0,5400.0,11.172
Hungary,2011,71.8309860229492,14234.471576937,70.1421813964844,9971727.0,5085.0,11.029
Hungary,2012,68.0751190185547,12984.8365730133,68.7203826904297,9920362.0,4034.0,11.003
Hungary,2013,67.6056365966797,13715.0703590361,70.6161117553711,9893082.0,2422.0,10.177
Hungary,2014,70.6730804443359,14294.2584180751,68.5714263916016,9866468.0,2854.0,7.725
Hungary,2015,64.7619018554688,12717.038597002,69.523811340332,9843028.0,4383.0,6.813
Hungary,2016,65.2380981445312,13104.6995457458,66.1904754638672,9814023.0,4736.0,5.115
Hungary,2017,69.523811340332,14621.2395956755,74.2857131958008,9787966.0,5671.0,4.156
Hungary,2018,70.476188659668,16425.2050299693,70.7547149658203,9775564.0,6019.0,3.709
Hungary,2019,68.5714263916016,16786.2136399075,71.698112487793,9771141.0,5750.0,3.419
Hungary,2020,66.1904754638672,16131.9540355923,74.0566024780273,9750149.0,5838.0,4.25
Hungary,2021,67.6190490722656,18755.1023464312,73.1132049560547,9709891.0,5676.0,4.045
Hungary,2022,63.2075462341309,18355.8278072065,69.8113174438477,9643048.0,35370.0,3.609
Iceland,2010,93.3649291992188,43237.0729488958,85.3080596923828,318041.0,72.0,7.564
Iceland,2011,93.4272308349609,47714.5922308485,92.890998840332,319014.0,55.0,7.028
Iceland,2012,92.4882659912109,45995.5478789467,92.890998840332,320716.0,55.0,6.0
Iceland,2013,92.4882659912109,49804.9829978371,94.3127975463867,323764.0,72.0,5.376
Iceland,2014,90.8653869628906,54576.7448146565,94.2857131958008,327386.0,93.0,4.897
Iceland,2015,90.9523773193359,52951.6815110898,94.7619018554688,330815.0,170.0,3.979
Iceland,2016,89.523811340332,61987.9263620283,95.7142868041992,335439.0,245.0,2.978
Iceland,2017,90.9523773193359,72010.1490316258,95.7142868041992,343400.0,361.0,2.742
Iceland,2018,93.3333358764648,74452.1890731447,97.6415100097656,352721.0,549.0,2.704
Iceland,2019,95.2380981445312,68452.23622306,99.5283050537109,360563.0,894.0,3.507
Iceland,2020,96.1904754638672,59023.5663465778,96.698112487793,366463.0,1460.0,5.478
Iceland,2021,96.1904754638672,69252.3112431448,96.2264175415039,372520.0,1830.0,6.029
